Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Segment,Age,Gender,Region,City,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
ORD10040,2025-02-15,2025-02-16,C1080,Customer_37,CORPORATE,46,FEMALE,EAST,BANGALORE,OFFICE SUPPLIES,PAPER,Product_274,32276.98,7,0.2,5289.96
ORD10041,2024-07-18,2024-07-20,C1021,Customer_149,CONSUMER,47,MALE,EAST,BANGALORE,TECHNOLOGY,ACCESSORIES,Product_275,23780.29,5,0.05,9909.08
ORD10042,2025-06-16,2025-06-19,C1564,Customer_778,HOME OFFICE,43,MALE,WEST,CHENNAI,FURNITURE,BOOKCASES,Product_48,42046.58,4,0.0,3934.19
ORD10043,2023-04-02,2023-04-03,C1739,Customer_501,CONSUMER,49,MALE,WEST,PATNA,TECHNOLOGY,PHONES,Product_102,17287.58,2,0.0,5792.81
ORD10044,2025-08-13,2025-08-16,C1297,Customer_946,CONSUMER,46,MALE,EAST,NEW DELHI,FURNITURE,TABLES,Product_109,2162.86,3,0.2,-1258.35
ORD10045,2024-05-23,2024-05-24,C1377,Customer_32,HOME OFFICE,64,FEMALE,EAST,MUMBAI,TECHNOLOGY,ACCESSORIES,Product_60,9861.9,6,0.1,2951.44
ORD10046,2025-02-14,2025-02-16,C1197,Customer_858,CONSUMER,37,FEMALE,EAST,PATNA,FURNITURE,CHAIRS,Product_206,23594.8,9,0.1,8709.82
ORD10047,2023-02-04,2023-02-09,C1527,Customer_128,CORPORATE,34,FEMALE,NORTH,PATNA,TECHNOLOGY,ACCESSORIES,Product_119,9717.42,9,0.05,-349.23
ORD10048,2023-07-25,2023-07-30,C1445,Customer_342,CORPORATE,46,FEMALE,SOUTH,PATNA,TECHNOLOGY,PHONES,Product_40,21380.92,7,0.05,5006.72
ORD10049,2025-10-22,2025-10-26,C1823,Customer_526,HOME OFFICE,45,MALE,NORTH,CHENNAI,OFFICE SUPPLIES,PAPER,Product_26,18696.99,8,0.0,-430.14
ORD10050,2025-10-18,2025-10-22,C1538,Customer_266,CONSUMER,34,MALE,EAST,NEW DELHI,FURNITURE,BOOKCASES,Product_178,10479.86,3,0.0,2444.97
ORD10051,2024-07-19,2024-07-25,C1591,Customer_857,CONSUMER,28,FEMALE,NORTH,MUMBAI,TECHNOLOGY,PHONES,Product_269,46712.61,9,0.05,3172.19
ORD10052,2024-12-03,2024-12-06,C1281,Customer_901,HOME OFFICE,62,FEMALE,SOUTH,MUMBAI,FURNITURE,TABLES,Product_240,44097.45,8,0.0,3609.25
ORD10053,2024-02-06,2024-02-07,C1785,Customer_120,CORPORATE,23,FEMALE,SOUTH,PATNA,FURNITURE,BOOKCASES,Product_247,27044.25,1,0.2,936.87
ORD10054,2024-12-30,2025-01-03,C1880,Customer_102,CONSUMER,22,MALE,NORTH,MUMBAI,TECHNOLOGY,LAPTOPS,Product_277,24138.76,3,0.2,2706.46
ORD10055,2023-06-11,2023-06-13,C1938,Customer_94,HOME OFFICE,59,MALE,EAST,PATNA,OFFICE SUPPLIES,STORAGE,Product_140,25209.58,2,0.0,9721.8
ORD10056,2023-07-21,2023-07-26,C1156,Customer_335,CONSUMER,24,FEMALE,NORTH,CHENNAI,OFFICE SUPPLIES,PAPER,Product_140,6848.29,7,0.05,5318.53
ORD10057,2025-09-22,2025-09-23,C1749,Customer_165,CONSUMER,46,FEMALE,WEST,CHENNAI,TECHNOLOGY,ACCESSORIES,Product_179,35157.72,4,0.0,6492.66
ORD10058,2023-09-27,2023-10-03,C1427,Customer_403,HOME OFFICE,43,MALE,NORTH,BANGALORE,TECHNOLOGY,PHONES,Product_48,14384.97,6,0.0,9585.54
ORD10059,2025-03-26,2025-03-31,C1567,Customer_821,CORPORATE,25,FEMALE,SOUTH,NEW DELHI,TECHNOLOGY,LAPTOPS,Product_59,2702.47,8,0.15,6787.11
ORD10060,2024-03-31,2024-04-01,C1658,Customer_957,CORPORATE,57,FEMALE,NORTH,PATNA,OFFICE SUPPLIES,PAPER,Product_105,13800.98,4,0.0,3589.43
ORD10061,2025-10-13,2025-10-17,C1020,Customer_811,CONSUMER,41,FEMALE,SOUTH,BANGALORE,TECHNOLOGY,ACCESSORIES,Product_74,13999.62,3,0.2,5630.62
ORD10062,2023-10-23,2023-10-27,C1554,Customer_570,HOME OFFICE,30,MALE,SOUTH,CHENNAI,FURNITURE,BOOKCASES,Product_167,27371.97,1,0.0,-1216.55
ORD10063,2024-12-20,2024-12-23,C1458,Customer_51,CONSUMER,63,MALE,WEST,PATNA,FURNITURE,CHAIRS,Product_115,14009.48,6,0.15,2243.42
ORD10064,2023-12-04,2023-12-10,C1647,Customer_763,HOME OFFICE,50,FEMALE,NORTH,PATNA,TECHNOLOGY,ACCESSORIES,Product_197,,5,0.1,-1709.15
ORD10065,2025-05-28,2025-05-29,C1094,Customer_257,CONSUMER,40,FEMALE,SOUTH,NEW DELHI,OFFICE SUPPLIES,PAPER,Product_79,11852.11,1,0.0,8434.84
ORD10066,2025-12-12,2025-12-18,C1545,Customer_73,CORPORATE,52,MALE,SOUTH,CHENNAI,TECHNOLOGY,ACCESSORIES,Product_31,18285.41,4,0.05,9481.5
ORD10067,2025-03-02,2025-03-04,C1291,Customer_618,CONSUMER,51,MALE,SOUTH,NEW DELHI,TECHNOLOGY,PHONES,Product_36,26220.55,9,0.1,1482.99
ORD10068,2023-08-05,2023-08-11,C1172,Customer_838,CONSUMER,46,FEMALE,NORTH,CHENNAI,OFFICE SUPPLIES,PAPER,Product_244,18207.14,9,0.15,1335.13
ORD10069,2025-02-02,2025-02-06,C1131,Customer_382,CONSUMER,25,FEMALE,WEST,MUMBAI,FURNITURE,CHAIRS,Product_119,7844.73,9,0.15,7252.53
ORD10070,2023-07-07,2023-07-10,C1633,Customer_721,CONSUMER,46,MALE,WEST,BANGALORE,FURNITURE,BOOKCASES,Product_50,14854.77,8,0.1,-423.01
ORD10071,2024-01-15,2024-01-19,C1379,Customer_326,CORPORATE,30,MALE,SOUTH,NEW DELHI,FURNITURE,CHAIRS,Product_58,4550.04,4,0.05,4200.1
ORD10072,2024-05-07,2024-05-12,C1105,Customer_89,CONSUMER,26,FEMALE,EAST,NEW DELHI,FURNITURE,BOOKCASES,Product_223,6213.0,1,0.2,-1137.35
ORD10073,2025-11-30,2025-12-04,C1087,Customer_581,HOME OFFICE,49,FEMALE,SOUTH,BANGALORE,FURNITURE,TABLES,Product_234,49636.41,8,0.1,1709.15
ORD10074,2023-01-15,2023-01-16,C1081,Customer_996,CONSUMER,45,FEMALE,EAST,CHENNAI,FURNITURE,CHAIRS,Product_278,23726.28,8,0.05,3341.79
ORD10075,2023-03-06,2023-03-09,C1359,Customer_162,CONSUMER,33,MALE,SOUTH,PATNA,FURNITURE,BOOKCASES,Product_95,18183.15,3,0.2,9122.47
ORD10076,2024-06-04,2024-06-05,C1944,Customer_621,HOME OFFICE,51,MALE,NORTH,BANGALORE,FURNITURE,BOOKCASES,Product_122,37974.38,9,0.15,3446.2
ORD10077,2024-10-09,2024-10-11,C1761,Customer_357,CORPORATE,64,MALE,EAST,MUMBAI,FURNITURE,TABLES,Product_105,13067.0,1,0.15,8040.96
ORD10078,2025-12-22,2025-12-24,C1759,Customer_174,CONSUMER,43,MALE,SOUTH,PATNA,OFFICE SUPPLIES,STORAGE,Product_180,24816.11,5,0.2,1444.68
ORD10079,2024-08-15,2024-08-19,C1654,Customer_626,CONSUMER,58,MALE,NORTH,CHENNAI,OFFICE SUPPLIES,BINDERS,Product_172,17617.66,3,0.0,8989.51
ORD10080,2024-01-27,2024-01-30,C1752,Customer_376,CONSUMER,57,MALE,NORTH,MUMBAI,OFFICE SUPPLIES,PAPER,Product_83,5072.36,1,0.1,9593.4
ORD10081,2024-02-23,2024-02-29,C1919,Customer_537,CORPORATE,32,FEMALE,NORTH,NEW DELHI,FURNITURE,TABLES,Product_32,45292.19,7,0.05,6051.17
ORD10082,2023-10-16,2023-10-19,C1716,Customer_753,CONSUMER,38,FEMALE,NORTH,MUMBAI,TECHNOLOGY,PHONES,Product_40,4254.76,5,0.1,3322.02
ORD10083,2024-01-14,2024-01-17,C1042,Customer_702,CONSUMER,33,FEMALE,WEST,CHENNAI,OFFICE SUPPLIES,PAPER,Product_202,27109.46,3,0.15,-605.73
ORD10084,2023-08-19,2023-08-22,C1735,Customer_619,CORPORATE,51,FEMALE,EAST,PATNA,FURNITURE,BOOKCASES,Product_12,16280.52,8,0.15,-1342.88
ORD10085,2025-10-14,2025-10-18,C1185,Customer_547,CONSUMER,33,MALE,WEST,CHENNAI,OFFICE SUPPLIES,BINDERS,Product_258,39500.2,7,0.2,8096.43
ORD10086,2023-02-10,2023-02-11,C1796,Customer_734,CORPORATE,61,MALE,SOUTH,MUMBAI,OFFICE SUPPLIES,PAPER,Product_89,3781.8,8,0.2,8238.12
ORD10087,2025-11-17,2025-11-21,C1062,Customer_493,HOME OFFICE,40,MALE,NORTH,MUMBAI,TECHNOLOGY,LAPTOPS,Product_111,48822.38,7,0.15,7055.28
ORD10088,2023-05-15,2023-05-21,C1791,Customer_202,CORPORATE,31,FEMALE,EAST,MUMBAI,TECHNOLOGY,PHONES,Product_67,3007.08,2,0.2,9865.04
ORD10089,2023-07-20,2023-07-21,C1685,Customer_547,CONSUMER,44,MALE,EAST,PATNA,OFFICE SUPPLIES,PAPER,Product_144,8726.45,8,0.15,5221.45
ORD10090,2025-02-18,2025-02-24,C1216,Customer_49,HOME OFFICE,38,MALE,NORTH,MUMBAI,FURNITURE,BOOKCASES,Product_122,28025.66,2,0.0,9871.41
ORD10091,2025-07-18,2025-07-23,C1639,Customer_985,CORPORATE,61,FEMALE,EAST,MUMBAI,TECHNOLOGY,LAPTOPS,Product_24,15720.06,5,0.2,9217.99
ORD10092,2025-11-22,2025-11-27,C1543,Customer_749,HOME OFFICE,58,MALE,SOUTH,BANGALORE,TECHNOLOGY,PHONES,Product_114,14054.49,4,0.15,-1571.58
ORD10093,2025-12-07,2025-12-08,C1480,Customer_118,CONSUMER,61,FEMALE,WEST,CHENNAI,FURNITURE,TABLES,Product_187,6454.29,4,0.15,5207.36
ORD10094,2024-05-17,2024-05-21,C1983,Customer_267,CORPORATE,63,FEMALE,EAST,CHENNAI,OFFICE SUPPLIES,BINDERS,Product_165,26663.64,7,0.15,4462.55
ORD10095,2024-02-11,2024-02-17,C1249,Customer_948,CORPORATE,23,MALE,WEST,PATNA,TECHNOLOGY,ACCESSORIES,Product_81,6152.1,8,0.2,7889.05
ORD10096,2025-03-15,2025-03-21,C1593,Customer_498,HOME OFFICE,57,MALE,NORTH,CHENNAI,OFFICE SUPPLIES,STORAGE,Product_27,46419.97,7,0.05,-443.23
ORD10097,2023-04-09,2023-04-11,C1571,Customer_584,HOME OFFICE,47,FEMALE,SOUTH,BANGALORE,OFFICE SUPPLIES,PAPER,Product_63,23532.71,4,0.15,9995.92
ORD10098,2024-11-14,2024-11-20,C1908,Customer_392,CORPORATE,47,MALE,WEST,PATNA,TECHNOLOGY,PHONES,Product_123,45538.61,1,0.0,1468.41
ORD10099,2024-12-26,2024-12-30,C1707,Customer_698,CORPORATE,29,MALE,NORTH,CHENNAI,TECHNOLOGY,LAPTOPS,Product_26,1614.58,1,0.1,2193.68
ORD10100,2025-08-18,2025-08-20,C1233,Customer_260,CORPORATE,57,MALE,WEST,NEW DELHI,OFFICE SUPPLIES,STORAGE,Product_38,4082.48,2,0.2,9205.82
ORD10101,2024-09-04,2024-09-08,C1231,Customer_818,CONSUMER,33,FEMALE,EAST,PATNA,TECHNOLOGY,LAPTOPS,Product_16,20137.6,2,0.15,7217.65
ORD10102,2024-10-04,2024-10-07,C1903,Customer_599,CONSUMER,25,MALE,NORTH,MUMBAI,OFFICE SUPPLIES,BINDERS,Product_100,25286.86,6,0.05,6818.26
ORD10103,2025-10-25,2025-10-31,C1862,Customer_978,CORPORATE,62,MALE,SOUTH,CHENNAI,TECHNOLOGY,ACCESSORIES,Product_106,12497.63,2,0.2,4487.72
ORD10104,2024-05-17,2024-05-20,C1996,Customer_966,CORPORATE,25,FEMALE,EAST,CHENNAI,TECHNOLOGY,PHONES,Product_71,13274.98,3,0.15,6074.83
ORD10105,2025-02-05,2025-02-10,C1872,Customer_300,CORPORATE,29,FEMALE,WEST,CHENNAI,OFFICE SUPPLIES,BINDERS,Product_22,39867.7,1,0.0,272.87
ORD10106,2024-02-02,2024-02-07,C1989,Customer_480,CORPORATE,35,MALE,SOUTH,CHENNAI,FURNITURE,CHAIRS,Product_112,43602.24,8,0.15,688.68
ORD10107,2025-05-20,2025-05-21,C1150,Customer_886,CORPORATE,52,FEMALE,NORTH,PATNA,TECHNOLOGY,ACCESSORIES,Product_117,14484.04,9,0.2,4221.23
ORD10108,2025-03-05,2025-03-11,C1388,Customer_83,CONSUMER,32,MALE,EAST,CHENNAI,OFFICE SUPPLIES,BINDERS,Product_212,34157.8,8,0.15,4748.78
ORD10109,2024-01-28,2024-01-30,C1687,Customer_568,CONSUMER,64,MALE,EAST,MUMBAI,FURNITURE,CHAIRS,Product_56,43595.87,5,0.2,6691.53
ORD10110,2023-07-26,2023-07-29,C1390,Customer_176,CORPORATE,55,FEMALE,EAST,MUMBAI,TECHNOLOGY,PHONES,Product_279,39650.05,9,0.2,-757.84
ORD10111,2025-11-04,2025-11-08,C1667,Customer_585,CONSUMER,29,FEMALE,WEST,CHENNAI,OFFICE SUPPLIES,BINDERS,Product_63,3512.53,6,0.2,-996.12
ORD10112,2025-06-10,2025-06-16,C1612,Customer_215,HOME OFFICE,57,FEMALE,EAST,MUMBAI,TECHNOLOGY,LAPTOPS,Product_49,19314.6,3,0.2,1471.2
ORD10113,2025-05-13,2025-05-14,C1216,Customer_230,CONSUMER,57,MALE,SOUTH,BANGALORE,OFFICE SUPPLIES,BINDERS,Product_14,41476.81,7,0.1,104.64
ORD10114,2025-01-12,2025-01-16,C1507,Customer_117,CONSUMER,29,FEMALE,NORTH,PATNA,OFFICE SUPPLIES,STORAGE,Product_135,49266.89,2,0.05,2585.71
ORD10115,2024-07-17,2024-07-20,C1385,Customer_159,CONSUMER,40,FEMALE,SOUTH,PATNA,FURNITURE,TABLES,Product_196,46931.83,4,0.2,6374.91
ORD10116,2025-10-17,2025-10-23,C1677,Customer_517,CONSUMER,48,MALE,WEST,NEW DELHI,OFFICE SUPPLIES,PAPER,Product_285,32757.47,4,0.1,6366.8
ORD10117,2023-04-06,2023-04-09,C1884,Customer_570,CORPORATE,50,FEMALE,WEST,NEW DELHI,OFFICE SUPPLIES,BINDERS,Product_103,47696.49,6,0.2,9414.68
ORD10118,2024-04-29,2024-05-05,C1852,Customer_511,CORPORATE,26,MALE,SOUTH,NEW DELHI,OFFICE SUPPLIES,PAPER,Product_74,11374.3,6,0.15,3120.46
ORD10119,2023-08-19,2023-08-25,C1327,Customer_114,CONSUMER,22,FEMALE,NORTH,MUMBAI,TECHNOLOGY,PHONES,Product_275,26805.08,1,0.0,891.66
ORD10120,2025-01-18,2025-01-21,C1864,Customer_616,HOME OFFICE,52,MALE,EAST,BANGALORE,OFFICE SUPPLIES,BINDERS,Product_38,34211.35,8,0.0,-1520.88
ORD10121,2024-06-24,2024-06-27,C1595,Customer_747,CORPORATE,42,FEMALE,SOUTH,NEW DELHI,TECHNOLOGY,PHONES,Product_229,35470.96,6,0.2,9353.89
ORD10122,2025-11-25,2025-11-29,C1807,Customer_903,CONSUMER,41,FEMALE,SOUTH,NEW DELHI,TECHNOLOGY,PHONES,Product_70,46435.1,4,0.2,2407.73
ORD10123,2024-06-08,2024-06-09,C1296,Customer_315,HOME OFFICE,64,FEMALE,EAST,NEW DELHI,FURNITURE,BOOKCASES,Product_43,9046.57,2,0.1,6556.92
ORD10124,2024-07-31,2024-08-03,C1461,Customer_630,CONSUMER,45,MALE,WEST,NEW DELHI,TECHNOLOGY,ACCESSORIES,Product_30,28366.98,1,0.0,1724.75
ORD10125,2024-11-12,2024-11-17,C1322,Customer_459,HOME OFFICE,61,MALE,SOUTH,BANGALORE,TECHNOLOGY,PHONES,Product_159,30207.13,4,0.2,372.9
ORD10126,2024-07-10,2024-07-11,C1911,Customer_404,CONSUMER,40,FEMALE,NORTH,MUMBAI,TECHNOLOGY,ACCESSORIES,Product_233,23274.86,3,0.0,3251.31
ORD10127,2025-10-09,2025-10-14,C1949,Customer_716,CONSUMER,33,MALE,NORTH,BANGALORE,TECHNOLOGY,PHONES,Product_140,11186.84,4,0.1,1892.95
ORD10128,2024-10-07,2024-10-11,C1621,Customer_208,CONSUMER,40,MALE,NORTH,PATNA,OFFICE SUPPLIES,PAPER,Product_63,37498.44,4,0.0,7730.33
ORD10129,2025-03-06,2025-03-09,C1462,Customer_871,CORPORATE,38,FEMALE,SOUTH,MUMBAI,OFFICE SUPPLIES,BINDERS,Product_17,22568.7,6,0.05,7617.3
ORD10130,2025-11-17,2025-11-18,C1319,Customer_998,CONSUMER,62,MALE,WEST,PATNA,TECHNOLOGY,PHONES,Product_107,31666.47,3,0.05,6922.82
ORD10131,2023-07-09,2023-07-12,C1863,Customer_468,CORPORATE,62,MALE,EAST,CHENNAI,TECHNOLOGY,PHONES,Product_296,29530.1,1,0.2,2369.14
ORD10132,2024-09-24,2024-09-30,C1146,Customer_152,CONSUMER,51,FEMALE,WEST,PATNA,FURNITURE,CHAIRS,Product_90,7578.48,2,0.2,1024.68
ORD10133,2024-09-19,2024-09-22,C1546,Customer_440,CONSUMER,61,FEMALE,NORTH,MUMBAI,FURNITURE,BOOKCASES,Product_119,30419.11,9,0.1,7753.28
ORD10134,2025-08-30,2025-08-31,C1827,Customer_743,CONSUMER,26,MALE,EAST,PATNA,TECHNOLOGY,ACCESSORIES,Product_193,18704.99,2,0.1,5843.55
ORD10135,2024-12-10,2024-12-13,C1040,Customer_597,CONSUMER,22,FEMALE,WEST,NEW DELHI,OFFICE SUPPLIES,STORAGE,Product_5,30330.3,6,0.15,9756.28
ORD10136,2024-10-10,2024-10-13,C1461,Customer_748,CORPORATE,26,FEMALE,NORTH,PATNA,OFFICE SUPPLIES,BINDERS,Product_257,16114.5,6,0.2,6579.08
ORD10137,2023-11-14,2023-11-16,C1283,Customer_831,CONSUMER,43,FEMALE,NORTH,CHENNAI,FURNITURE,CHAIRS,Product_95,6738.88,4,0.2,8887.33
ORD10138,2024-11-14,2024-11-16,C1624,Customer_719,CORPORATE,31,MALE,NORTH,PATNA,TECHNOLOGY,LAPTOPS,Product_12,37283.87,5,0.05,-1771.53
ORD10139,2024-10-25,2024-10-26,C1853,Customer_306,CONSUMER,41,FEMALE,WEST,NEW DELHI,FURNITURE,TABLES,Product_261,27542.54,6,0.15,2611.37
ORD10140,2024-03-17,2024-03-18,C1612,Customer_896,CORPORATE,53,MALE,SOUTH,MUMBAI,TECHNOLOGY,LAPTOPS,Product_204,22478.82,8,0.1,9784.98
ORD10141,2024-07-17,2024-07-23,C1775,Customer_686,CONSUMER,47,FEMALE,NORTH,CHENNAI,FURNITURE,CHAIRS,Product_7,8192.04,4,0.1,9278.27
ORD10142,2025-08-09,2025-08-15,C1148,Customer_70,CONSUMER,32,FEMALE,EAST,NEW DELHI,FURNITURE,BOOKCASES,Product_99,25683.96,4,0.05,9933.73
ORD10143,2024-11-29,2024-12-02,C1008,Customer_28,CONSUMER,28,FEMALE,SOUTH,CHENNAI,OFFICE SUPPLIES,STORAGE,Product_34,15194.96,6,0.2,1142.8
ORD10144,2023-04-23,2023-04-28,C1379,Customer_682,CONSUMER,49,MALE,NORTH,NEW DELHI,TECHNOLOGY,LAPTOPS,Product_79,40859.8,5,0.1,6438.81
ORD10145,2023-01-02,2023-01-03,C1201,Customer_411,CONSUMER,59,MALE,EAST,NEW DELHI,TECHNOLOGY,LAPTOPS,Product_203,49647.45,2,0.05,8267.56
ORD10146,2024-10-03,2024-10-06,C1483,Customer_367,HOME OFFICE,43,FEMALE,EAST,BANGALORE,TECHNOLOGY,LAPTOPS,Product_183,26178.93,3,0.2,6710.84
ORD10147,2023-08-08,2023-08-13,C1555,Customer_779,CORPORATE,58,MALE,WEST,NEW DELHI,TECHNOLOGY,LAPTOPS,Product_204,7900.56,5,0.0,2204.91
